combination_id,data_sensitivity,access_level,persistence,transitive_exposure,scope_count,cross_service_breadth,has_restricted_scope,risk_label
SC-0099,5,3,1,1,3,1,0,Critical
SC-0100,5,0,0,1,2,1,0,Medium
SC-0101,5,3,1,1,3,1,0,Critical
SC-0102,3,2,0,0,2,2,0,Medium
SC-0103,3,0,0,0,2,2,0,Low
SC-0104,4,2,0,0,6,3,0,High
SC-0105,4,2,1,0,5,3,0,High
SC-0106,5,1,1,1,5,3,0,Critical
SC-0107,4,1,0,0,5,3,0,High
SC-0108,4,2,1,0,4,2,0,High
SC-0109,4,2,1,0,5,3,0,High
SC-0110,3,0,1,0,5,3,0,Medium
SC-0111,3,2,1,0,5,3,0,High
SC-0112,3,0,1,0,5,3,0,Medium
SC-0113,4,2,1,1,5,3,0,Critical
SC-0114,4,0,1,0,7,5,0,High
SC-0115,4,2,1,0,6,3,0,Critical
SC-0116,5,1,1,1,5,3,1,Critical
SC-0117,3,2,0,0,2,2,0,Medium
SC-0118,4,2,0,0,7,4,0,High
SC-0119,5,3,1,1,3,2,1,Critical
SC-0120,4,2,1,0,6,4,1,Critical
SC-0121,5,2,1,0,7,5,0,Critical
SC-0122,4,2,1,0,5,3,1,Critical
SC-0123,5,3,0,1,2,2,0,High
SC-0124,3,2,0,0,6,4,0,High
SC-0125,1,0,1,0,3,1,0,Low
SC-0126,1,0,1,0,2,1,0,Low
SC-0127,1,0,1,0,5,1,0,Medium
SC-0128,1,0,1,0,4,1,0,Medium
SC-0129,4,2,1,0,6,4,0,Critical
SC-0131,5,1,1,0,5,3,1,Critical
SC-0132,4,2,1,0,5,3,0,High
SC-0133,4,1,1,0,2,2,1,High
SC-0134,4,1,1,0,5,3,1,High
SC-0135,5,1,1,0,5,3,1,Critical
SC-0136,4,2,0,0,5,3,0,High
SC-0137,5,2,1,1,8,5,1,Critical
SC-0138,4,2,1,0,5,3,0,High
SC-0139,4,1,0,0,6,3,0,High
SC-0140,3,1,1,0,5,3,0,High
SC-0141,5,2,1,0,5,3,0,Critical
SC-0142,4,1,1,0,5,3,0,High
SC-0143,4,2,0,0,3,3,0,High
SC-0144,5,3,1,1,5,3,1,Critical
SC-0145,5,1,0,0,5,3,1,High
SC-0146,5,1,1,0,5,2,0,High
SC-0147,4,2,1,0,6,4,0,Critical
SC-0148,3,0,0,0,5,3,0,Medium
SC-0149,5,3,1,1,4,2,0,Critical
SC-0150,5,1,1,1,6,4,1,Critical
SC-0151,4,2,1,1,5,3,0,Critical
SC-0152,2,0,1,0,5,3,0,Medium
SC-0153,5,1,1,0,6,4,0,Critical
SC-0154,5,2,0,1,3,3,1,Critical
SC-0155,5,2,0,1,3,3,1,Critical
SC-0156,5,1,0,1,2,2,1,High
SC-0157,5,2,0,0,1,1,1,High
SC-0158,4,2,0,0,1,1,1,High
SC-0159,5,2,0,1,4,3,1,Critical
SC-0160,5,1,0,1,3,2,1,High
SC-0161,5,2,0,0,2,1,1,High
SC-0162,5,1,0,0,2,1,1,High
SC-0163,5,3,0,1,3,1,0,Critical
SC-0164,3,3,0,1,2,2,0,High
SC-0165,5,3,0,1,4,1,0,Critical
SC-0166,5,3,0,1,2,2,1,Critical
SC-0167,4,2,0,0,3,3,1,High
SC-0168,5,0,0,1,4,4,1,High
SC-0169,4,2,0,1,3,3,1,High
SC-0170,5,2,0,0,3,3,1,Critical
SC-0171,4,0,0,0,4,1,0,Medium
SC-0172,5,2,0,1,6,6,1,Critical
SC-0173,5,3,0,1,4,4,1,Critical
SC-0174,5,2,0,1,6,6,1,Critical
SC-0175,5,2,0,1,2,2,1,High
SC-0176,5,1,0,0,3,2,1,High
SC-0177,5,1,0,0,3,1,1,High
SC-0178,5,1,0,1,4,3,1,Critical
SC-0179,5,2,0,1,4,4,1,Critical
SC-0180,5,0,0,1,3,3,1,High
SC-0181,4,2,1,0,3,3,0,High
SC-0182,4,2,1,0,2,2,0,High
SC-0183,3,0,1,0,2,2,0,Medium
SC-0184,5,2,0,1,4,4,1,Critical
SC-0185,4,2,0,0,3,3,1,High
SC-0186,5,0,0,0,2,2,1,Medium
SC-0187,5,2,1,0,3,3,1,Critical
SC-0188,5,2,1,1,3,3,1,Critical
SC-0189,5,2,0,0,4,4,1,Critical
SC-0190,5,2,1,0,4,3,1,Critical
SC-0191,4,2,1,0,2,2,0,High
SC-0192,3,2,1,0,2,2,0,High
SC-0193,5,2,1,1,2,2,0,Critical
SC-0194,4,1,1,0,2,2,1,High
SC-0195,3,2,0,0,2,2,0,Medium
SC-0196,4,2,0,0,2,2,1,High
SC-0197,4,2,1,1,4,3,0,Critical
SC-0198,5,2,1,0,3,3,1,Critical
SC-0199,4,2,1,0,3,2,0,High
SC-0200,4,2,1,0,2,2,1,High
SC-0201,1,0,1,0,3,1,0,Low
SC-0202,1,0,1,0,4,1,0,Medium
SC-0203,5,3,0,1,3,1,0,Critical
SC-0204,5,0,1,1,2,1,0,High
SC-0205,5,3,0,1,3,1,0,Critical
SC-0206,3,2,1,0,2,2,0,High
SC-0207,3,0,1,0,2,2,0,Medium
SC-0208,5,2,1,1,3,3,1,Critical
SC-0209,5,2,1,1,3,2,1,Critical
SC-0210,5,2,1,1,3,2,1,Critical
SC-0211,5,2,1,0,4,3,1,Critical
SC-0212,5,1,1,0,4,3,1,Critical
SC-0213,5,1,1,0,4,3,1,Critical
SC-0214,5,1,1,1,4,2,1,Critical
SC-0215,5,1,1,0,4,2,1,Critical
SC-0216,5,1,1,0,4,2,1,Critical
SC-0217,5,1,1,1,5,4,1,Critical
SC-0218,5,2,1,1,5,4,1,Critical
SC-0219,5,1,1,1,5,3,1,Critical
SC-0220,5,2,1,1,5,4,1,Critical
SC-0221,5,2,1,1,5,5,1,Critical
SC-0222,5,2,1,1,5,5,1,Critical
SC-0223,5,1,1,1,4,3,1,Critical
SC-0224,5,0,1,1,4,4,1,Critical
SC-0225,5,0,1,1,4,3,1,Critical
SC-0226,4,2,0,0,4,4,0,High
SC-0227,4,2,0,0,4,4,0,High
SC-0228,4,2,0,0,4,4,0,High
SC-0229,4,2,0,0,3,3,0,High
SC-0230,4,2,0,0,3,3,0,High
SC-0231,4,2,0,0,3,3,0,High
SC-0232,3,2,0,0,3,2,0,Medium
SC-0233,5,1,0,0,3,3,1,High
SC-0234,4,1,0,0,3,3,0,Medium
SC-0235,5,2,1,1,5,5,1,Critical
SC-0236,5,2,1,1,5,5,1,Critical
SC-0237,5,2,1,1,5,5,1,Critical
SC-0238,4,2,1,0,4,3,1,Critical
SC-0239,4,2,1,0,4,3,1,Critical
SC-0240,4,2,1,1,4,4,1,Critical
SC-0241,5,0,1,1,3,3,1,Critical
SC-0242,5,2,1,0,3,3,1,Critical
SC-0243,5,2,1,0,3,3,1,Critical
SC-0244,5,2,0,0,4,4,1,Critical
SC-0245,5,2,0,0,4,4,1,Critical
SC-0246,5,2,0,0,4,4,1,Critical
SC-0247,5,2,0,1,4,4,1,Critical
SC-0248,5,2,0,1,4,4,1,Critical
SC-0249,5,2,0,1,4,4,1,Critical
SC-0250,5,2,1,0,5,5,1,Critical
SC-0252,5,2,1,0,5,5,1,Critical
SC-0253,5,2,0,1,5,4,1,Critical
SC-0254,5,2,0,0,5,4,1,Critical
SC-0255,5,2,0,0,5,4,1,Critical
SC-0256,4,2,0,0,3,3,0,High
SC-0257,4,2,0,1,3,3,0,High
SC-0258,4,2,0,0,3,3,0,High
SC-0259,4,2,0,1,3,3,0,High
SC-0260,4,2,0,0,3,3,0,High
SC-0261,3,2,1,0,3,3,0,High
SC-0262,5,2,0,1,3,3,0,Critical
SC-0263,5,2,0,1,3,3,0,Critical
SC-0264,5,2,0,1,3,3,0,Critical
SC-0265,4,2,0,0,3,3,1,High
SC-0266,4,1,0,0,3,3,1,High
SC-0267,4,1,0,0,3,3,1,High
SC-0268,3,2,1,0,3,3,0,High
SC-0269,3,2,1,0,3,3,0,High
SC-0270,4,2,1,1,3,3,0,Critical
SC-0271,4,2,1,0,3,3,1,Critical
SC-0272,4,2,1,0,3,3,1,Critical
SC-0273,4,2,1,0,3,2,1,High
SC-0274,4,2,0,1,5,4,0,High
SC-0275,4,2,0,1,5,4,0,High
SC-0276,4,2,0,1,5,4,0,High
SC-0277,5,2,0,0,4,4,1,Critical
SC-0278,5,2,0,0,4,4,1,Critical
SC-0279,5,2,0,0,4,4,1,Critical
SC-0280,4,2,0,0,4,3,0,High
SC-0281,4,2,0,0,4,3,0,High
SC-0282,4,2,0,0,4,3,0,High
SC-0283,5,2,0,0,3,3,1,Critical
SC-0284,4,2,0,0,3,3,1,High
SC-0285,4,2,0,0,3,3,1,High
SC-0286,4,2,0,0,4,2,0,High
SC-0287,3,2,1,0,4,2,0,High
SC-0288,4,0,0,1,4,2,0,Medium
SC-0289,3,0,1,0,5,2,0,Medium
SC-0290,4,0,0,0,5,2,0,Medium
SC-0291,4,2,0,0,5,2,0,High
SC-0292,5,3,1,1,4,2,0,Critical
SC-0293,5,3,1,1,4,2,0,Critical
SC-0294,5,3,1,1,4,2,0,Critical
SC-0295,5,2,0,1,3,2,0,Critical
SC-0296,5,0,0,1,3,2,0,High
SC-0297,5,0,0,1,3,2,0,High
SC-0298,5,3,1,1,4,2,0,Critical
SC-0299,5,3,1,1,4,2,0,Critical
SC-0300,5,3,1,1,4,2,0,Critical
SC-0301,3,3,1,1,3,3,0,Critical
SC-0302,3,3,1,1,3,3,0,Critical
SC-0304,4,2,0,0,3,3,0,High
SC-0306,4,2,0,0,3,3,0,High
SC-0307,3,0,1,0,3,3,0,Medium
SC-0308,4,1,1,0,3,3,0,High
SC-0309,3,0,0,0,3,3,0,Medium
SC-0310,4,2,1,1,7,4,0,Critical
SC-0311,5,2,1,0,7,4,1,Critical
SC-0312,4,2,1,0,7,4,0,Critical
SC-0313,4,2,0,0,6,4,0,High
SC-0315,4,2,0,1,6,4,0,Critical
SC-0316,5,2,0,1,6,4,0,Critical
SC-0317,5,1,0,1,6,4,0,Critical
SC-0318,5,2,0,1,6,4,0,Critical
SC-0319,5,1,1,0,6,4,1,Critical
SC-0320,4,1,1,1,6,4,0,Critical
SC-0321,4,2,1,0,6,4,0,Critical
SC-0322,4,2,0,0,5,3,0,High
SC-0323,4,2,0,1,5,3,0,High
SC-0324,4,2,0,0,5,3,0,High
SC-0325,4,2,0,0,6,4,0,High
SC-0326,4,2,0,0,6,4,0,High
SC-0327,5,2,0,0,6,4,1,Critical
SC-0328,3,2,0,0,6,3,0,High
SC-0329,4,1,0,0,6,4,0,High
SC-0330,4,0,0,1,6,4,0,High
SC-0331,3,2,0,0,6,4,0,High
SC-0333,3,2,0,0,6,4,0,High
SC-0334,4,1,0,0,6,4,0,High
SC-0335,4,2,0,0,6,4,0,High
SC-0336,5,1,0,0,6,4,1,Critical
SC-0338,4,2,0,1,6,4,0,Critical
SC-0339,5,2,0,1,6,4,1,Critical
SC-0340,4,0,0,1,8,6,0,High
SC-0341,4,2,0,0,8,5,0,High
SC-0342,4,2,0,0,8,6,0,High
SC-0343,4,2,0,0,7,4,0,High
SC-0344,5,2,0,0,7,4,1,Critical
SC-0345,4,2,0,0,7,4,0,High
SC-0346,5,1,0,1,6,4,1,Critical
SC-0347,5,1,0,1,6,4,1,Critical
SC-0348,5,2,0,1,6,4,1,Critical
SC-0349,3,2,1,0,3,3,0,High
SC-0351,4,2,1,0,3,3,0,High
SC-0352,4,2,1,0,8,5,0,Critical
SC-0353,4,2,1,0,8,5,0,Critical
SC-0354,4,2,1,0,8,5,0,Critical
SC-0355,5,3,0,1,4,3,1,Critical
SC-0356,5,3,0,1,4,3,1,Critical
SC-0357,5,3,0,1,4,3,1,Critical
SC-0358,4,2,0,1,7,5,1,Critical
SC-0359,4,2,0,0,7,4,1,Critical
SC-0360,4,2,0,0,7,5,1,Critical
SC-0361,5,2,0,0,8,6,1,Critical
SC-0363,5,2,0,0,8,6,0,Critical
SC-0365,4,2,0,0,6,4,1,Critical
SC-0366,5,2,0,0,6,4,1,Critical
SC-0367,5,3,1,1,3,3,0,Critical
SC-0368,5,3,1,1,3,3,0,Critical
SC-0369,5,3,1,1,3,3,1,Critical
SC-0370,3,2,1,0,7,5,0,High
SC-0372,5,2,1,0,7,5,1,Critical
SC-0373,4,2,0,0,4,2,0,High
SC-0374,4,0,0,1,4,2,0,Medium
SC-0375,3,0,1,0,4,2,0,Medium
SC-0376,3,2,1,0,3,2,0,High
SC-0377,3,0,0,0,3,2,0,Low
SC-0378,4,1,0,0,6,2,0,High
SC-0379,4,0,0,0,6,2,0,Medium
SC-0380,3,0,0,0,6,2,0,Medium
SC-0381,4,2,0,0,5,2,0,High
SC-0382,3,0,0,0,5,2,0,Medium
SC-0383,4,0,0,1,5,2,0,Medium
SC-0384,4,2,0,1,7,5,0,Critical
SC-0385,4,2,0,0,7,5,0,High
SC-0386,4,2,0,0,7,5,0,High
SC-0390,5,1,0,0,6,3,1,High
SC-0391,5,2,0,0,6,4,1,Critical
SC-0392,5,2,0,0,6,4,1,Critical
SC-0393,4,2,0,1,6,4,0,Critical
SC-0394,4,2,0,0,6,4,0,High
SC-0395,4,2,0,0,6,4,0,High
SC-0396,4,2,0,0,3,3,1,High
SC-0397,4,1,0,0,3,2,1,High
SC-0398,4,2,0,0,3,3,1,High
SC-0399,4,1,0,0,6,4,1,High
SC-0400,4,1,0,1,6,4,1,Critical
SC-0401,5,1,0,0,6,4,1,Critical
SC-0402,5,1,0,1,6,4,1,Critical
SC-0403,5,1,0,0,6,4,1,Critical
SC-0404,5,1,0,0,6,4,1,Critical
SC-0405,4,2,1,0,6,4,0,Critical
SC-0406,4,2,1,0,6,4,0,Critical
SC-0407,5,2,1,0,6,4,1,Critical
SC-0408,5,2,0,1,9,6,1,Critical
SC-0409,5,2,0,1,9,6,1,Critical
SC-0410,5,2,0,1,9,6,1,Critical
SC-0411,4,2,0,0,6,4,0,High
SC-0412,4,2,0,0,6,4,0,High
SC-0413,5,2,0,0,6,4,1,Critical
SC-0415,5,1,1,0,7,4,1,Critical
SC-0416,4,2,1,0,7,4,0,Critical
SC-0417,5,1,0,0,6,4,1,Critical
SC-0418,4,1,0,0,6,4,0,High
SC-0419,4,1,0,0,6,4,0,High
SC-0420,5,2,0,0,6,3,1,Critical
SC-0421,5,2,0,1,6,4,0,Critical
SC-0422,5,2,0,0,6,4,0,Critical
SC-0423,4,1,0,1,6,4,0,High
SC-0425,4,1,0,0,6,3,0,High
SC-0426,4,2,1,0,4,4,0,Critical
SC-0429,5,3,0,1,6,4,1,Critical
SC-0431,5,3,0,1,6,4,1,Critical
SC-0432,5,2,1,0,6,4,1,Critical
SC-0433,5,1,1,0,6,4,1,Critical
SC-0434,5,2,1,0,6,4,1,Critical
SC-0435,5,2,0,0,6,3,0,Critical
SC-0436,5,1,0,0,6,3,0,High
SC-0437,5,2,0,0,6,3,0,Critical
SC-0438,4,2,0,0,7,5,0,High
SC-0439,4,2,0,0,7,5,0,High
SC-0440,4,2,0,0,7,5,0,High
SC-0441,4,1,1,0,6,4,0,High
SC-0442,3,2,1,0,6,4,0,High
SC-0443,4,2,1,0,6,4,0,Critical
SC-0444,5,3,0,1,5,3,0,Critical
SC-0445,5,3,0,1,5,3,1,Critical
SC-0446,5,3,0,1,5,3,0,Critical
SC-0448,5,1,0,1,7,5,1,Critical
SC-0449,5,2,0,1,7,5,1,Critical
SC-0450,4,2,0,1,6,4,0,Critical
SC-0451,4,2,0,1,6,4,0,Critical
SC-0452,4,2,0,1,6,4,0,Critical
SC-0453,4,2,0,0,6,4,0,High
SC-0454,3,2,0,0,6,4,0,High
SC-0455,4,1,0,0,6,4,0,High
SC-0456,5,2,0,0,7,5,0,Critical
SC-0458,5,1,0,0,7,4,1,Critical
SC-0459,4,0,1,0,5,2,0,High
SC-0460,4,2,1,0,5,3,0,High
SC-0461,4,2,1,0,5,3,0,High
SC-0462,4,2,1,0,5,3,0,High
SC-0463,4,2,0,0,4,3,0,High
SC-0464,4,2,0,0,4,3,0,High
SC-0465,3,2,0,0,4,2,0,Medium
SC-0466,4,1,0,0,4,2,0,Medium
SC-0467,5,1,0,1,4,3,0,High
SC-0468,5,1,0,1,4,3,0,High
SC-0469,5,1,0,0,4,2,0,High
SC-0470,4,1,1,0,4,3,0,High
SC-0471,4,1,1,0,4,2,0,High
SC-0472,2,1,1,0,4,2,0,Medium
SC-0473,4,1,1,0,4,3,0,High
SC-0474,4,2,0,0,3,2,0,High
SC-0475,4,2,0,0,3,2,0,High
SC-0476,4,2,0,0,3,2,0,High
SC-0477,4,2,0,0,4,3,0,High
SC-0478,4,2,0,0,4,3,0,High
SC-0479,4,2,0,0,4,3,0,High
SC-0480,4,2,0,0,4,2,0,High
SC-0481,3,0,0,0,4,3,0,Medium
SC-0482,3,0,0,0,4,3,0,Medium
SC-0483,3,0,0,0,4,2,0,Medium
SC-0484,3,2,0,0,4,2,0,Medium
SC-0485,3,2,0,0,4,3,0,High
SC-0486,3,2,0,0,4,2,0,Medium
SC-0487,3,2,0,0,4,3,0,High
SC-0488,2,0,0,0,4,2,0,Low
SC-0489,3,0,0,0,4,3,0,Medium
SC-0490,3,0,0,0,4,3,0,Medium
SC-0491,3,0,0,0,4,3,0,Medium
SC-0492,4,2,0,1,4,3,0,High
SC-0493,4,2,0,1,4,3,0,High
SC-0494,4,2,0,1,4,3,0,High
SC-0495,4,0,0,0,6,5,0,High
SC-0496,4,0,0,0,6,4,0,High
SC-0497,4,0,0,0,6,4,0,High
SC-0498,4,0,0,0,6,4,0,High
SC-0499,4,2,0,0,5,3,0,High
SC-0500,4,2,0,0,5,3,0,High
SC-0501,2,2,0,0,5,2,0,Medium
SC-0502,4,2,0,0,5,3,0,High
SC-0503,3,0,1,1,4,2,0,High
SC-0504,5,1,0,1,4,3,1,Critical
SC-0505,5,1,0,0,4,2,1,High
SC-0506,5,1,0,1,4,3,1,Critical
SC-0507,4,2,1,0,6,4,0,Critical
SC-0508,3,2,1,0,6,3,0,High
SC-0509,4,2,1,0,6,4,0,Critical
SC-0510,4,2,1,0,6,4,0,Critical
SC-0511,4,2,0,0,5,4,1,High
SC-0512,4,2,0,0,5,4,1,High
SC-0513,4,2,0,0,5,4,1,High
SC-0514,3,2,0,0,5,3,0,High
SC-0515,5,2,0,0,6,5,0,Critical
SC-0516,5,2,0,0,6,5,0,Critical
SC-0517,5,2,0,0,6,5,0,Critical
SC-0518,5,2,0,0,6,4,0,Critical
SC-0519,4,2,0,0,4,3,1,High
SC-0520,4,2,0,0,4,3,1,High
SC-0521,4,0,0,0,4,2,1,Medium
SC-0522,4,2,0,0,4,2,0,High
SC-0523,3,2,1,0,5,3,0,High
SC-0524,3,2,1,0,5,4,0,High
SC-0525,2,2,1,0,5,3,0,High
SC-0526,3,2,1,0,5,3,0,High
SC-0527,1,0,0,0,4,1,0,Low
SC-0528,1,0,0,0,4,1,0,Low
SC-0529,1,0,0,0,3,1,0,Low
SC-0530,1,0,0,0,3,1,0,Low
SC-0531,1,0,0,0,3,1,0,Low
SC-0532,4,2,0,0,5,3,0,High
SC-0533,4,2,0,0,5,4,0,High
SC-0534,4,2,0,0,5,3,0,High
SC-0535,4,2,0,0,5,4,0,High
SC-0538,4,0,1,0,4,2,0,High
SC-0540,3,1,0,0,4,2,0,Medium
SC-0541,5,1,0,0,4,3,1,High
SC-0542,5,1,0,0,4,3,1,High
SC-0543,5,0,0,0,4,2,1,High
SC-0544,4,2,0,0,4,3,0,High
SC-0545,3,1,1,0,4,2,0,High
SC-0546,4,2,0,0,4,3,0,High
SC-0547,4,2,0,0,4,3,0,High
SC-0548,4,1,0,0,4,3,1,High
SC-0549,4,1,0,0,4,3,1,High
SC-0550,4,1,0,0,4,3,1,High
SC-0551,3,0,1,0,4,2,0,Medium
SC-0552,5,1,0,0,4,3,1,High
SC-0553,5,1,0,0,4,3,1,High
SC-0554,4,2,1,0,4,3,0,High
SC-0555,4,2,1,0,4,3,0,High
SC-0556,4,2,1,0,4,3,0,High
SC-0557,2,0,1,0,4,2,0,Medium
SC-0558,5,2,0,1,7,5,1,Critical
SC-0559,5,2,0,0,7,4,1,Critical
SC-0560,5,2,0,1,7,5,1,Critical
SC-0561,5,2,0,1,7,5,1,Critical
SC-0562,2,2,0,0,4,2,0,Medium
SC-0563,4,0,0,0,4,2,0,Medium
SC-0564,4,2,0,0,4,3,0,High
SC-0565,4,2,0,0,4,3,0,High
SC-0566,4,1,1,0,5,3,0,High
SC-0567,4,1,1,0,5,3,0,High
SC-0568,4,1,1,0,5,3,0,High
SC-0569,4,1,1,0,5,2,0,High
SC-0570,3,1,0,0,4,3,0,Medium
SC-0571,3,1,1,0,4,3,0,High
SC-0572,3,1,0,0,4,3,0,Medium
SC-0573,5,2,0,0,4,3,0,Critical
SC-0574,5,0,1,0,4,2,0,High
SC-0575,5,2,0,0,4,3,0,Critical
SC-0576,5,2,0,0,4,3,0,Critical
SC-0577,4,1,0,0,4,3,0,High
SC-0578,4,1,0,0,4,3,0,High
SC-0579,4,1,0,0,4,3,0,High
SC-0580,5,3,0,1,4,2,0,Critical
SC-0581,5,3,0,1,4,3,1,Critical
SC-0582,5,3,0,1,4,3,1,Critical
SC-0583,5,1,1,0,4,3,1,Critical
SC-0584,5,1,1,0,4,2,1,Critical
SC-0585,5,1,1,0,4,3,1,Critical
SC-0586,5,1,1,0,4,3,1,Critical
SC-0587,5,1,0,0,4,2,0,High
SC-0588,5,1,0,0,4,2,0,High
SC-0589,5,0,1,0,4,2,0,High
SC-0590,5,1,0,0,4,2,0,High
SC-0591,4,2,0,0,5,3,0,High
SC-0592,4,2,0,0,5,4,0,High
SC-0593,4,2,0,0,5,4,0,High
SC-0594,4,2,0,0,5,3,0,High
SC-0595,3,0,1,0,4,3,0,Medium
SC-0596,3,0,1,0,4,2,0,Medium
SC-0597,3,0,1,0,4,3,0,Medium
SC-0598,5,3,0,1,3,1,0,Critical
SC-0599,5,3,0,1,3,2,0,Critical
SC-0600,5,3,0,1,3,2,0,Critical
SC-0601,5,3,0,1,3,2,0,Critical
SC-0602,3,0,0,1,5,3,0,Medium
SC-0603,5,1,0,1,5,4,1,Critical
SC-0604,5,1,0,1,5,3,1,Critical
SC-0605,5,1,0,0,5,3,1,High
SC-0606,4,2,0,1,4,3,0,High
SC-0607,4,2,0,1,4,3,0,High
SC-0608,4,2,0,1,4,3,0,High
SC-0609,2,0,1,0,4,3,0,Medium
SC-0610,2,0,0,0,4,3,0,Medium
SC-0611,2,0,0,0,4,2,0,Low
SC-0612,5,1,0,0,5,3,0,High
SC-0613,5,1,0,0,5,4,0,High
SC-0614,5,1,0,0,5,4,0,High
SC-0615,4,1,0,0,5,3,0,High
SC-0616,5,2,1,1,3,3,1,Critical
SC-0617,5,2,1,0,3,2,1,Critical
SC-0618,5,2,1,1,3,3,1,Critical
SC-0619,5,2,1,1,3,2,1,Critical
SC-0620,5,3,1,1,3,1,0,Critical
SC-0621,5,3,1,1,3,1,0,Critical
SC-0622,5,3,1,1,3,1,0,Critical
SC-0623,5,3,1,1,3,1,0,Critical
SC-0624,5,0,1,1,3,3,1,Critical
SC-0625,5,0,1,0,3,3,1,High
