combination_id,data_sensitivity,access_level,persistence,transitive_exposure,scope_count,cross_service_breadth,has_restricted_scope,risk_label
SC-0100,5,3,1,1,3,1,0,Critical
SC-0101,3,2,0,0,2,2,0,Medium
SC-0102,3,0,0,0,2,2,0,Low
SC-0103,4,2,0,0,6,3,0,High
SC-0104,4,2,1,0,5,3,0,High
SC-0105,5,1,1,1,5,3,0,Critical
SC-0106,4,1,0,0,5,3,0,High
SC-0107,4,2,1,0,4,2,0,High
SC-0108,4,2,1,0,5,3,0,High
SC-0109,3,0,1,0,5,3,0,Medium
SC-0110,3,2,1,0,5,3,0,High
SC-0111,3,0,1,0,5,3,0,Medium
SC-0112,4,2,1,1,5,3,0,Critical
SC-0113,4,0,1,0,7,5,0,High
SC-0115,5,1,1,1,5,3,1,Critical
SC-0116,4,2,0,0,7,4,0,High
SC-0117,5,3,1,1,3,2,1,Critical
SC-0118,4,2,1,0,6,4,1,Critical
SC-0120,4,2,1,0,5,3,1,Critical
SC-0121,5,3,0,1,2,2,0,High
SC-0122,3,2,0,0,6,4,0,High
SC-0123,1,0,1,0,3,1,0,Low
SC-0124,1,0,1,0,2,1,0,Low
SC-0125,1,0,1,0,5,1,0,Medium
SC-0126,1,0,1,0,4,1,0,Medium
SC-0127,4,2,1,0,6,4,0,Critical
SC-0128,4,2,0,0,5,3,0,High
SC-0129,5,1,1,0,5,3,1,Critical
SC-0130,4,2,1,0,5,3,0,High
SC-0131,4,1,1,0,2,2,1,High
SC-0132,4,1,1,0,5,3,1,High
SC-0133,5,1,1,0,5,3,1,Critical
SC-0134,4,2,0,0,5,3,0,High
SC-0135,5,2,1,1,8,5,1,Critical
SC-0136,4,2,1,0,5,3,0,High
SC-0137,4,1,0,0,6,3,0,High
SC-0138,3,1,1,0,5,3,0,High
SC-0139,5,2,1,0,5,3,0,Critical
SC-0140,4,1,1,0,5,3,0,High
SC-0141,4,2,0,0,3,3,0,High
SC-0142,5,3,1,1,5,3,1,Critical
SC-0143,5,1,0,0,5,3,1,High
SC-0144,5,1,1,0,5,2,0,High
SC-0145,4,2,1,0,6,4,0,Critical
SC-0146,3,0,0,0,5,3,0,Medium
SC-0147,5,3,1,1,4,2,0,Critical
SC-0148,5,1,1,1,6,4,1,Critical
SC-0149,4,2,1,1,5,3,0,Critical
SC-0150,2,0,1,0,5,3,0,Medium
SC-0151,5,1,1,0,6,4,0,Critical
SC-0152,5,2,0,1,3,3,1,Critical
SC-0153,5,2,0,1,3,3,1,Critical
SC-0154,5,1,0,1,2,2,1,High
SC-0155,5,2,0,0,1,1,1,High
SC-0156,4,2,0,0,1,1,1,High
SC-0157,5,2,0,1,4,3,1,Critical
SC-0158,5,1,0,1,3,2,1,High
SC-0159,5,2,0,0,2,1,1,High
SC-0160,5,1,0,0,2,1,1,High
SC-0161,5,3,0,1,3,1,0,Critical
SC-0162,3,3,0,1,2,2,0,High
SC-0163,5,3,0,1,4,1,0,Critical
SC-0164,5,3,0,1,2,2,1,Critical
SC-0165,4,2,0,0,3,3,1,High
SC-0166,5,0,0,1,4,4,1,High
SC-0167,4,2,0,1,3,3,1,High
SC-0168,5,2,0,0,3,3,1,Critical
SC-0169,4,0,0,0,4,1,0,Medium
SC-0170,5,2,0,1,6,6,1,Critical
SC-0171,5,3,0,1,4,4,1,Critical
SC-0172,5,2,0,1,6,6,1,Critical
SC-0173,5,2,0,1,2,2,1,High
SC-0174,5,1,0,0,3,2,1,High
SC-0175,5,1,0,0,3,1,1,High
SC-0176,5,1,0,1,4,3,1,Critical
SC-0177,5,2,0,1,4,4,1,Critical
SC-0178,5,0,0,1,3,3,1,High
SC-0179,4,2,1,0,3,3,0,High
SC-0180,4,2,1,0,2,2,0,High
SC-0181,3,0,1,0,2,2,0,Medium
SC-0182,5,2,0,1,4,4,1,Critical
SC-0183,4,2,0,0,3,3,1,High
SC-0184,5,0,0,0,2,2,1,Medium
SC-0185,5,2,1,0,3,3,1,Critical
SC-0186,5,2,1,1,3,3,1,Critical
SC-0187,5,2,0,0,4,4,1,Critical
SC-0188,5,2,1,0,4,3,1,Critical
SC-0189,4,2,1,0,2,2,0,High
SC-0190,3,2,1,0,2,2,0,High
SC-0191,5,2,1,1,2,2,0,Critical
SC-0192,4,1,1,0,2,2,1,High
SC-0193,3,2,0,0,2,2,0,Medium
SC-0194,4,2,0,0,2,2,1,High
SC-0195,4,2,1,1,4,3,0,Critical
SC-0196,5,2,1,0,3,3,1,Critical
SC-0197,4,2,1,0,3,2,0,High
SC-0198,4,2,1,0,2,2,1,High
SC-0199,1,0,1,0,4,1,0,Medium
SC-0200,5,3,0,1,3,1,0,Critical
SC-0201,5,0,1,1,2,1,0,High
SC-0202,5,3,0,1,3,1,0,Critical
SC-0203,3,0,1,0,2,2,0,Medium
SC-0204,5,2,1,1,3,3,1,Critical
SC-0205,5,2,1,1,3,2,1,Critical
SC-0206,5,2,1,1,3,2,1,Critical
SC-0207,5,2,1,0,4,3,1,Critical
SC-0208,5,1,1,0,4,3,1,Critical
SC-0209,5,1,1,0,4,3,1,Critical
SC-0210,5,1,1,1,4,2,1,Critical
SC-0211,5,1,1,0,4,2,1,Critical
SC-0212,5,1,1,0,4,2,1,Critical
SC-0213,5,1,1,1,5,4,1,Critical
SC-0214,5,2,1,1,5,4,1,Critical
SC-0215,5,1,1,1,5,3,1,Critical
SC-0216,5,2,1,1,5,4,1,Critical
SC-0217,5,2,1,1,5,5,1,Critical
SC-0218,5,2,1,1,5,5,1,Critical
SC-0219,5,1,1,1,4,3,1,Critical
SC-0220,5,0,1,1,4,4,1,Critical
SC-0221,5,0,1,1,4,3,1,Critical
SC-0222,4,2,0,0,4,4,0,High
SC-0223,4,2,0,0,4,4,0,High
SC-0224,4,2,0,0,4,4,0,High
SC-0225,4,2,0,0,3,3,0,High
SC-0226,4,2,0,0,3,3,0,High
SC-0227,4,2,0,0,3,3,0,High
SC-0228,3,2,0,0,3,2,0,Medium
SC-0229,5,1,0,0,3,3,1,High
SC-0230,4,1,0,0,3,3,0,Medium
SC-0231,5,2,1,1,5,5,1,Critical
SC-0232,5,2,1,1,5,5,1,Critical
SC-0233,5,2,1,1,5,5,1,Critical
SC-0234,4,2,1,0,4,3,1,Critical
SC-0235,4,2,1,0,4,3,1,Critical
SC-0236,4,2,1,1,4,4,1,Critical
SC-0237,5,0,1,1,3,3,1,Critical
SC-0238,5,2,1,0,3,3,1,Critical
SC-0239,5,2,1,0,3,3,1,Critical
SC-0240,5,2,0,0,4,4,1,Critical
SC-0241,5,2,0,0,4,4,1,Critical
SC-0242,5,2,0,0,4,4,1,Critical
SC-0243,5,2,0,1,4,4,1,Critical
SC-0244,5,2,0,1,4,4,1,Critical
SC-0245,5,2,0,1,4,4,1,Critical
SC-0246,5,2,1,0,5,5,1,Critical
SC-0247,5,2,1,0,5,5,1,Critical
SC-0248,5,2,1,0,5,5,1,Critical
SC-0249,5,2,0,1,5,4,1,Critical
SC-0250,5,2,0,0,5,4,1,Critical
SC-0251,5,2,0,0,5,4,1,Critical
SC-0258,5,2,0,1,3,3,0,Critical
SC-0259,5,2,0,1,3,3,0,Critical
SC-0260,5,2,0,1,3,3,0,Critical
SC-0261,4,2,0,0,3,3,1,High
SC-0262,4,1,0,0,3,3,1,High
SC-0263,4,1,0,0,3,3,1,High
SC-0265,3,2,1,0,3,3,0,High
SC-0267,4,2,1,0,3,3,1,Critical
SC-0268,4,2,1,0,3,3,1,Critical
SC-0269,4,2,1,0,3,2,1,High
SC-0270,4,2,0,1,5,4,0,High
SC-0271,4,2,0,1,5,4,0,High
SC-0272,4,2,0,1,5,4,0,High
SC-0273,5,2,0,0,4,4,1,Critical
SC-0274,5,2,0,0,4,4,1,Critical
SC-0275,5,2,0,0,4,4,1,Critical
SC-0276,4,2,0,0,4,3,0,High
SC-0277,4,2,0,0,4,3,0,High
SC-0278,4,2,0,0,4,3,0,High
SC-0279,5,2,0,0,3,3,1,Critical
SC-0280,4,2,0,0,3,3,1,High
SC-0281,4,2,0,0,3,3,1,High
SC-0282,4,2,0,0,4,2,0,High
SC-0283,3,2,1,0,4,2,0,High
SC-0284,4,0,1,1,4,2,0,High
SC-0285,3,0,0,0,5,2,0,Medium
SC-0286,4,0,1,0,5,2,0,High
SC-0287,4,2,0,0,5,2,0,High
SC-0288,5,3,1,1,4,2,0,Critical
SC-0289,5,3,1,1,4,2,0,Critical
SC-0290,5,3,1,1,4,2,0,Critical
SC-0291,5,2,0,1,3,2,0,Critical
SC-0292,5,0,0,1,3,2,0,High
SC-0293,5,0,0,1,3,2,0,High
SC-0294,5,3,1,1,4,2,0,Critical
SC-0295,5,3,1,1,4,2,0,Critical
SC-0296,5,3,1,1,4,2,0,Critical
SC-0297,3,3,1,1,3,3,0,Critical
SC-0299,4,3,1,1,3,3,0,Critical
SC-0301,4,2,0,0,3,3,0,High
SC-0303,4,1,1,0,3,3,0,High
SC-0304,3,0,1,0,3,3,0,Medium
SC-0305,4,2,1,1,7,4,0,Critical
SC-0306,5,2,1,0,7,4,1,Critical
SC-0307,4,2,1,0,7,4,0,Critical
SC-0308,4,2,0,0,6,4,0,High
SC-0309,4,2,0,0,6,4,0,High
SC-0311,5,2,0,1,6,4,0,Critical
SC-0312,5,1,0,1,6,4,0,Critical
SC-0313,5,2,0,1,6,4,0,Critical
SC-0314,5,1,1,0,6,4,1,Critical
SC-0315,4,1,1,1,6,4,0,Critical
SC-0317,4,2,0,0,5,3,0,High
SC-0318,4,2,0,1,5,3,0,High
SC-0319,4,2,0,0,5,3,0,High
SC-0320,4,2,0,0,6,4,0,High
SC-0321,4,2,0,0,6,4,0,High
SC-0322,5,2,0,0,6,4,1,Critical
SC-0323,3,2,0,0,6,3,0,High
SC-0324,4,1,0,0,6,4,0,High
SC-0325,4,0,0,1,6,4,0,High
SC-0327,4,2,0,0,6,4,0,High
SC-0329,4,1,0,0,6,4,0,High
SC-0330,4,2,0,0,6,4,0,High
SC-0331,5,1,0,0,6,4,1,Critical
SC-0332,4,2,0,1,6,4,0,Critical
SC-0333,4,2,0,1,6,4,0,Critical
SC-0334,5,2,0,1,6,4,1,Critical
SC-0335,4,0,0,1,8,6,0,High
SC-0336,4,2,0,0,8,5,0,High
SC-0337,4,2,0,0,8,6,0,High
SC-0341,5,1,0,1,6,4,1,Critical
SC-0342,5,1,0,1,6,4,1,Critical
SC-0343,5,2,0,1,6,4,1,Critical
SC-0344,3,2,1,0,3,3,0,High
SC-0345,4,2,1,0,3,3,0,High
SC-0350,5,3,0,1,4,3,1,Critical
SC-0351,5,3,0,1,4,3,1,Critical
SC-0352,5,3,0,1,4,3,1,Critical
SC-0353,4,2,0,1,7,5,1,Critical
SC-0354,4,2,0,0,7,4,1,Critical
SC-0355,4,2,0,0,7,5,1,Critical
SC-0359,4,2,0,0,6,4,1,Critical
SC-0360,4,2,0,0,6,4,1,Critical
SC-0361,5,2,0,0,6,4,1,Critical
SC-0362,5,3,1,1,3,3,0,Critical
SC-0363,5,3,1,1,3,3,0,Critical
SC-0364,5,3,1,1,3,3,1,Critical
SC-0367,5,2,1,0,7,5,1,Critical
SC-0368,4,2,0,0,4,2,0,High
SC-0369,3,0,0,0,4,2,0,Medium
SC-0370,3,2,0,0,3,2,0,Medium
SC-0371,3,0,0,0,3,2,0,Low
SC-0372,4,1,0,0,6,2,0,High
SC-0373,4,0,1,0,6,2,0,High
SC-0374,3,0,1,0,6,2,0,Medium
SC-0375,4,2,0,0,5,2,0,High
SC-0376,3,0,0,0,5,2,0,Medium
SC-0377,4,0,0,1,5,2,0,Medium
SC-0378,4,2,0,1,7,5,0,Critical
SC-0379,4,2,0,0,7,5,0,High
SC-0380,4,2,0,0,7,5,0,High
SC-0382,5,2,1,0,6,4,1,Critical
SC-0383,4,2,1,1,6,4,0,Critical
SC-0384,5,1,0,0,6,3,1,High
SC-0385,5,2,0,0,6,4,1,Critical
SC-0386,5,2,0,0,6,4,1,Critical
SC-0387,4,2,0,1,6,4,0,Critical
SC-0388,4,2,0,0,6,4,0,High
SC-0389,4,2,0,0,6,4,0,High
SC-0391,4,1,0,0,3,2,1,High
SC-0393,4,1,0,0,6,4,1,High
SC-0395,5,1,0,0,6,4,1,Critical
SC-0396,5,1,0,1,6,4,1,Critical
SC-0397,5,1,0,0,6,4,1,Critical
SC-0398,5,1,0,0,6,4,1,Critical
SC-0401,5,2,1,0,6,4,1,Critical
SC-0402,5,2,0,1,9,6,1,Critical
SC-0403,5,2,0,1,9,6,1,Critical
SC-0404,5,2,0,1,9,6,1,Critical
SC-0407,5,2,0,0,6,4,1,Critical
SC-0408,4,1,1,0,7,4,0,High
SC-0409,5,1,1,0,7,4,1,Critical
SC-0410,4,2,1,0,7,4,0,Critical
SC-0411,5,1,0,0,6,4,1,Critical
SC-0412,4,1,0,0,6,4,0,High
SC-0413,4,1,0,0,6,4,0,High
SC-0414,5,2,0,0,6,3,1,Critical
SC-0415,5,2,0,1,6,4,0,Critical
SC-0416,5,2,0,0,6,4,0,Critical
SC-0417,4,1,0,1,6,4,0,High
SC-0418,4,1,0,0,6,4,0,High
SC-0419,4,1,0,0,6,3,0,High
SC-0421,4,2,1,1,4,4,0,Critical
SC-0422,4,2,1,0,4,4,0,Critical
SC-0423,5,3,0,1,6,4,1,Critical
SC-0424,5,3,0,1,6,4,1,Critical
SC-0425,5,3,0,1,6,4,1,Critical
SC-0426,5,2,1,0,6,4,1,Critical
SC-0427,5,1,1,0,6,4,1,Critical
SC-0428,5,2,1,0,6,4,1,Critical
SC-0429,5,2,0,0,6,3,0,Critical
SC-0430,5,1,0,0,6,3,0,High
SC-0431,5,2,0,0,6,3,0,Critical
SC-0435,4,1,1,0,6,4,0,High
SC-0437,4,2,1,0,6,4,0,Critical
SC-0438,5,3,0,1,5,3,0,Critical
SC-0439,5,3,0,1,5,3,1,Critical
SC-0440,5,3,0,1,5,3,0,Critical
SC-0441,5,1,0,1,7,5,1,Critical
SC-0442,5,1,0,1,7,5,1,Critical
SC-0443,5,2,0,1,7,5,1,Critical
SC-0444,4,2,0,1,6,4,0,Critical
SC-0445,4,2,0,1,6,4,0,Critical
SC-0446,4,2,0,1,6,4,0,Critical
SC-0447,4,2,0,0,6,4,0,High
SC-0449,4,1,0,0,6,4,0,High
SC-0450,5,2,0,0,7,5,0,Critical
SC-0451,5,1,0,0,7,5,0,High
SC-0452,5,1,0,0,7,4,1,Critical
SC-0453,4,0,1,0,5,2,0,High
SC-0454,4,2,1,0,5,3,0,High
SC-0455,4,2,1,0,5,3,0,High
SC-0456,4,2,1,0,5,3,0,High
SC-0457,4,2,0,0,4,3,0,High
SC-0458,4,2,0,0,4,3,0,High
SC-0459,3,2,0,0,4,2,0,Medium
SC-0460,4,1,0,0,4,2,0,Medium
SC-0461,5,1,0,1,4,3,0,High
SC-0462,5,1,0,1,4,3,0,High
SC-0463,5,1,0,0,4,2,0,High
SC-0464,4,1,1,0,4,3,0,High
SC-0465,4,1,1,0,4,2,0,High
SC-0466,2,1,1,0,4,2,0,Medium
SC-0467,4,1,1,0,4,3,0,High
SC-0468,4,2,0,0,3,2,0,High
SC-0469,4,2,0,0,3,2,0,High
SC-0470,4,2,0,0,3,2,0,High
SC-0471,4,2,0,0,4,3,0,High
SC-0472,4,2,0,0,4,3,0,High
SC-0473,4,2,0,0,4,3,0,High
SC-0474,4,2,0,0,4,2,0,High
SC-0475,3,0,0,0,4,3,0,Medium
SC-0476,3,0,0,0,4,3,0,Medium
SC-0477,3,0,0,0,4,2,0,Medium
SC-0478,3,2,0,0,4,2,0,Medium
SC-0479,3,2,0,0,4,3,0,High
SC-0480,3,2,0,0,4,2,0,Medium
SC-0481,3,2,0,0,4,3,0,High
SC-0482,2,0,0,0,4,2,0,Low
SC-0483,3,0,0,0,4,3,0,Medium
SC-0484,3,0,0,0,4,3,0,Medium
SC-0485,3,0,0,0,4,3,0,Medium
SC-0486,4,2,0,1,4,3,0,High
SC-0487,4,2,0,1,4,3,0,High
SC-0488,4,2,0,1,4,3,0,High
SC-0489,4,0,0,0,6,5,0,High
SC-0490,4,0,0,0,6,4,0,High
SC-0491,4,0,0,0,6,4,0,High
SC-0492,4,0,0,0,6,4,0,High
SC-0495,2,2,0,0,5,2,0,Medium
SC-0497,3,0,0,1,4,2,0,Medium
SC-0498,5,1,0,1,4,3,1,Critical
SC-0499,5,1,0,0,4,2,1,High
SC-0500,5,1,0,1,4,3,1,Critical
SC-0501,4,2,1,0,6,4,0,Critical
SC-0502,3,2,1,0,6,3,0,High
SC-0503,4,2,1,0,6,4,0,Critical
SC-0504,4,2,1,0,6,4,0,Critical
SC-0505,4,2,0,0,5,4,1,High
SC-0506,4,2,0,0,5,4,1,High
SC-0507,4,2,0,0,5,4,1,High
SC-0508,3,2,0,0,5,3,0,High
SC-0512,5,2,0,0,6,4,0,Critical
SC-0513,4,2,0,0,4,3,1,High
SC-0514,4,2,0,0,4,3,1,High
SC-0515,4,0,0,0,4,2,1,Medium
SC-0516,3,2,1,0,5,3,0,High
SC-0517,3,2,1,0,5,4,0,High
SC-0518,2,2,1,0,5,3,0,High
SC-0519,3,2,1,0,5,3,0,High
SC-0520,1,0,0,0,4,1,0,Low
SC-0521,1,0,0,0,4,1,0,Low
SC-0522,1,0,0,0,3,1,0,Low
SC-0523,1,0,0,0,3,1,0,Low
SC-0524,1,0,0,0,3,1,0,Low
SC-0525,4,2,0,0,5,3,0,High
SC-0526,4,2,0,0,5,4,0,High
SC-0527,4,2,0,0,5,3,0,High
SC-0528,4,2,0,0,5,4,0,High
SC-0529,4,2,1,0,4,3,0,High
SC-0530,4,2,1,0,4,3,0,High
SC-0531,4,0,1,0,4,2,0,High
SC-0532,4,2,1,0,4,3,0,High
SC-0533,3,1,1,0,4,2,0,High
SC-0534,5,1,0,0,4,3,1,High
SC-0535,5,1,0,0,4,3,1,High
SC-0536,5,0,0,0,4,2,1,High
SC-0537,4,2,0,0,4,3,0,High
SC-0538,3,1,0,0,4,2,0,Medium
SC-0539,4,2,0,0,4,3,0,High
SC-0540,4,2,0,0,4,3,0,High
SC-0541,4,1,0,0,4,3,1,High
SC-0542,4,1,0,0,4,3,1,High
SC-0543,4,1,0,0,4,3,1,High
SC-0544,3,0,0,0,4,2,0,Medium
SC-0545,5,1,0,0,4,3,1,High
SC-0546,5,1,0,0,4,3,1,High
SC-0547,4,2,1,0,4,3,0,High
SC-0548,4,2,1,0,4,3,0,High
SC-0549,4,2,1,0,4,3,0,High
SC-0550,2,0,1,0,4,2,0,Medium
SC-0551,5,2,0,1,7,5,1,Critical
SC-0552,5,2,0,0,7,4,1,Critical
SC-0553,5,2,0,1,7,5,1,Critical
SC-0554,5,2,0,1,7,5,1,Critical
SC-0555,2,2,1,0,4,2,0,High
SC-0556,4,0,1,0,4,2,0,High
SC-0557,4,2,0,0,4,3,0,High
SC-0558,4,2,0,0,4,3,0,High
SC-0559,4,1,1,0,5,3,0,High
SC-0560,4,1,1,0,5,3,0,High
SC-0561,4,1,1,0,5,3,0,High
SC-0562,4,1,1,0,5,2,0,High
SC-0563,3,1,0,0,4,3,0,Medium
SC-0564,3,1,0,0,4,3,0,Medium
SC-0565,3,1,0,0,4,3,0,Medium
SC-0566,5,2,0,0,4,3,0,Critical
SC-0567,5,0,1,0,4,2,0,High
SC-0568,5,2,0,0,4,3,0,Critical
SC-0569,5,2,0,0,4,3,0,Critical
SC-0570,4,1,0,0,4,3,0,High
SC-0571,4,1,0,0,4,3,0,High
SC-0572,4,1,0,0,4,3,0,High
SC-0573,5,3,0,1,4,2,0,Critical
SC-0574,5,3,0,1,4,3,1,Critical
SC-0575,5,3,0,1,4,3,1,Critical
SC-0576,5,1,1,0,4,3,1,Critical
SC-0577,5,1,1,0,4,2,1,Critical
SC-0578,5,1,1,0,4,3,1,Critical
SC-0579,5,1,1,0,4,3,1,Critical
SC-0580,5,1,0,0,4,2,0,High
SC-0581,5,1,0,0,4,2,0,High
SC-0582,5,0,0,0,4,2,0,Medium
SC-0583,5,1,0,0,4,2,0,High
SC-0584,4,2,0,0,5,3,0,High
SC-0585,4,2,0,0,5,4,0,High
SC-0586,4,2,0,0,5,4,0,High
SC-0587,4,2,0,0,5,3,0,High
SC-0588,3,0,1,0,4,3,0,Medium
SC-0589,3,0,1,0,4,2,0,Medium
SC-0590,3,0,1,0,4,3,0,Medium
SC-0591,5,3,0,1,3,1,0,Critical
SC-0592,5,3,0,1,3,2,0,Critical
SC-0593,5,3,0,1,3,2,0,Critical
SC-0594,5,3,0,1,3,2,0,Critical
SC-0595,3,0,1,1,5,3,0,High
SC-0596,5,1,0,1,5,4,1,Critical
SC-0597,5,1,0,0,5,3,1,High
SC-0598,4,2,0,1,4,3,0,High
SC-0599,4,2,0,1,4,3,0,High
SC-0600,4,2,0,1,4,3,0,High
SC-0601,2,0,1,0,4,3,0,Medium
SC-0602,2,0,0,0,4,3,0,Medium
SC-0603,2,0,0,0,4,2,0,Low
SC-0604,5,1,0,0,5,3,0,High
SC-0605,5,1,0,0,5,4,0,High
SC-0606,5,1,0,0,5,4,0,High
SC-0607,4,1,0,0,5,3,0,High
SC-0608,5,2,1,1,3,3,1,Critical
SC-0609,5,2,1,0,3,2,1,Critical
SC-0610,5,2,1,1,3,3,1,Critical
SC-0611,5,2,1,1,3,2,1,Critical
SC-0612,5,3,1,1,3,1,0,Critical
SC-0613,5,3,1,1,3,1,0,Critical
SC-0614,5,3,1,1,3,1,0,Critical
SC-0615,5,0,1,1,3,3,1,Critical
SC-0616,5,0,1,0,3,3,1,High
SC-0617,4,0,1,1,3,3,1,High
SC-0618,5,0,1,1,3,3,1,Critical
SC-0619,4,0,1,0,3,1,0,Medium
SC-0620,4,0,1,0,3,1,0,Medium
SC-0621,4,0,1,0,3,1,0,Medium
SC-0622,4,0,1,0,3,1,0,Medium
SC-0623,5,2,1,1,5,5,1,Critical
SC-0624,5,2,1,1,5,5,1,Critical
SC-0625,4,2,1,1,5,5,1,Critical
SC-0626,5,3,1,1,3,3,1,Critical
SC-0627,5,3,1,1,3,3,1,Critical
SC-0628,5,3,1,1,3,3,1,Critical
SC-0629,5,3,1,1,3,3,1,Critical
SC-0634,5,1,1,0,3,2,1,High
SC-0635,5,1,1,1,3,3,1,Critical
SC-0636,5,1,1,1,3,3,1,Critical
SC-0637,5,2,1,1,3,3,1,Critical
SC-0638,5,1,1,0,3,3,1,Critical
SC-0639,4,2,1,1,3,3,1,Critical
SC-0640,5,2,1,1,3,3,1,Critical
SC-0641,5,2,1,0,3,3,1,Critical
SC-0642,4,2,1,1,3,3,1,Critical
SC-0643,5,2,1,0,3,3,1,Critical
SC-0644,5,2,1,0,3,3,1,Critical
SC-0645,5,2,1,0,3,3,1,Critical
SC-0646,4,2,1,0,3,3,1,Critical
SC-0647,5,2,0,0,3,3,1,Critical
SC-0648,4,2,0,0,3,2,0,High
SC-0649,5,2,0,0,3,3,1,Critical
SC-0650,5,2,0,0,3,2,1,Critical
SC-0651,4,2,0,1,3,2,0,High
SC-0652,4,2,0,0,3,3,0,High
SC-0653,3,2,0,1,3,2,0,High
SC-0654,4,2,0,1,3,3,0,High
